#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%
117,Walker Buehler,LAD,58.3%,95.2,9.1%,86.4,13.4%,92.0,18.9%,80.5,0.2%,92.0,0,0,0,0,0
118,Kyle Cody,TEX,48.8%,95.2,36.8%,83.7,0,0,0,0,14.4%,85.6,0,0,0,0,0
119,Blake Snell,SDP,43.2%,95.2,20.5%,87.3,0,0,14.3%,78.5,22.1%,89.1,0,0,0,0,0.8%
120,Taylor Hearn,TEX,72.5%,95.2,22.1%,82.4,0,0,0,0,5.4%,84.9,0,0,0,0,0
121,Emilio Pagan,SDP,55.5%,95.1,43.3%,87.2,0,0,0,0,1.2%,87.0,0,0,0,0,0
122,Rafael Montero,SEA,57.0%,95.1,21.5%,85.4,0,0,0,0,21.5%,89.2,0,0,0,0,0.9%
123,Tanner Rainey,WSN,61.3%,95.1,38.7%,86.7,0,0,0,0,0,0,0,0,0,0,1.2%
124,Bryan Abreu,HOU,46.3%,95.1,37.2%,88.8,0,0,16.4%,86.8,0,0,0,0,0,0,0
125,Trevor Rogers,MIA,62.0%,95.1,16.3%,82.1,0,0,0,0,21.7%,86.6,0,0,0,0,0
126,Chad Green,NYY,64.4%,95.1,0,0,0,0,35.6%,83.5,0,0,0,0,0,0,0.4%
127,Clay Holmes,PIT,43.1%,95.1,29.4%,88.3,0,0,27.4%,83.0,0,0,0,0,0,0,0
128,Matt Bush,TEX,53.6%,95.0,33.9%,86.1,0,0,12.5%,78.7,0,0,0,0,0,0,0
129,John Curtiss,MIA,50.0%,95.0,50.0%,87.8,0,0,0,0,0,0,0,0,0,0,0
130,Tyler Kinley,COL,42.6%,95.0,52.2%,90.4,0,0,0,0,5.2%,86.2,0,0,0,0,0
131,Anthony Bass,MIA,48.4%,95.0,51.0%,85.5,0,0,0,0,0,0,0.7%,87.0,0,0,2.6%
132,Dinelson Lamet,SDP,57.6%,95.0,42.4%,86.1,0,0,0,0,0,0,0,0,0,0,0
133,Jordan Weems,OAK,58.9%,95.0,26.8%,86.0,0,0,0,0,0,0,14.3%,87.1,0,0,0
134,Carlos Rodon,CHW,54.9%,94.9,25.3%,85.3,0,0,3.4%,76.0,16.4%,85.8,0,0,0,0,0
135,Anthony Castro,TOR,39.2%,94.9,0,0,0,0,59.8%,84.1,1.0%,89.0,0,0,0,0,0
136,Dillon Tate,BAL,58.3%,94.9,29.5%,84.9,0,0,0,0,12.2%,83.9,0,0,0,0,0
137,Keone Kela,SDP,52.3%,94.9,0,0,0,0,47.2%,81.6,0.5%,90.0,0,0,0,0,0
138,Yusei Kikuchi,SEA,32.8%,94.8,21.6%,82.6,40.0%,91.3,0,0,0,0,5.6%,87.2,0,0,0
139,Zack Littell,SFG,37.0%,94.8,0,0,55.6%,85.5,0,0,7.4%,84.5,0,0,0,0,0
140,Darwinzon Hernandez,BOS,67.0%,94.8,28.2%,83.3,0,0,4.8%,78.4,0,0,0,0,0,0,0
141,German Marquez,COL,54.1%,94.8,18.4%,86.4,0,0,26.0%,84.9,1.5%,85.6,0,0,0,0,0
142,Keynan Middleton,SEA,53.3%,94.8,32.7%,84.9,0,0,0,0,13.9%,86.8,0,0,0,0,0
143,Daniel Lynch,KCR,47.3%,94.8,37.8%,85.5,0,0,2.7%,80.5,12.2%,84.7,0,0,0,0,0
144,Miguel Diaz,SDP,54.0%,94.7,2.0%,88.0,0,0,0,0,44.0%,87.5,0,0,0,0,0
145,Charlie Morton,ATL,54.9%,94.7,0,0,11.8%,87.5,30.9%,79.3,2.4%,86.1,0,0,0,0,0.7%
146,Kevin Ginkel,ARI,56.2%,94.7,43.8%,84.0,0,0,0,0,0,0,0,0,0,0,0
147,Jorge Lopez,BAL,64.3%,94.7,0,0,0,0,24.0%,82.2,11.7%,87.7,0,0,0,0,0
